ID,first_name,last_name,sex,title,birth_date,birth_place,death_date,death_place
328,"George William","Hanover",M,,"13 NOV 1717","St. James Palace,London,England","17 FEB 1718","Kensington,Palace,London,England"
329,"William Augustus of_Cumberland","Hanover",M,"Duke","26 APR 1721","Leicester House","31 OCT 1765","London,,,England"
330,"Mary","Hanover",F,,"5 MAR 1723","Leicester House","14 JAN 1772","Hanau"
331,"Louisa","Hanover",F,,"18 DEC 1724","Leicester House,London,England","19 DEC 1751","Christiansborg,Denmark"
332,"Augusta of_Saxe-Gotha","",F,,"30 NOV 1719","Gotha","8 FEB 1772","Carlton House"
333,"Augusta","Hanover",F,,"12 AUG 1737","St. James Palace,London,England","23 MAR 1813","London,England"
334,"Edward Augustus","Hanover",M,"Duke of York","25 MAR 1739","Norfolk House","17 SEP 1767","Monaco"
335,"Elizabeth Caroline","Hanover",F,,"10 JAN 1741",,"4 SEP 1759","Kew Palace"
336,"Edward Henry of_Gloucester","Hanover",M,"Duke","25 NOV 1743","Leicester House","25 AUG 1805","Gloucester House"
337,"Henry Frederick of_Cumberland","Hanover",M,"Duke","7 NOV 1745","Leicester House","18 SEP 1790","London,,,England"
338,"Louisa Anne","Hanover",F,,"19 MAR 1749","Leicester House","13 MAY 1768","Carlton House"
339,"Frederick William","Hanover",M,,"24 MAY 1750","Leicester House","29 DEC 1765","Leicester House"
340,"Caroline Matilda","Hanover",F,,"22 JUL 1751","Leicester House","10 MAY 1775","Celle"
341,"George_I","Hanover",M,"King of England","28 MAY 1660","Leineschloss,Osnabruck,Hanover,Germany","11 JUN 1727","Osnabruck"
342,"Sophia Dorothea of_Celle","",F,,"10 SEP 1666",,"13 NOV 1726",
343,"Sophia Dorothea","Hanover",F,,"26 MAR 1687","Hanover","28 JUN 1757","Monbijou Palace,,Berlin,Germany"
344,"Frederick_V","",M,"King of Denmark","31 MAR 1723","Copenhagen,Denmark","14 JAN 1766","Christiansborg"
345,"Frederick William of_Schleswig-","",M,"Duke","1785",,"1831",
346,"Louise Caroline of_Hesse-Cassel","",F,"Princess","1789",,"1867",
347,"Alexander of_Hesse and_the_Rhine","",M,"Prince","1823",,"1888",
348,"Julia of_Battenberg","von_Hauke",F,"Princess","1825",,"1895",
349,"Louis_II of_Hesse and_the_Rhine","",M,"Grand Duke","1777",,"1848",
350,"Wilhelmina of_Baden","",F,"Princess","1788",,"1836",
351,"John Maurice","von_Hauke",M,"Count",,,"1830",
352,"Sophie","la_Fontaine",F,,,,"1831",
353,"Constantine Nikolaievitch of_Russia","",M,"Grand Duke","1827",,"1892",
354,"Elizabeth Alexandra of_Saxe-","",F,"Princess","1830",,"1911",
355,"Joseph of_Saxe- Altenburg","",M,"Duke",,,"1868",
356,"Amalie of_Wurttemberg","",F,"Duchess",,,"1848",
357,"Charles of_Hesse","",M,"Prince","1809",,"1877",
358,"Elizabeth of_Prussia","",F,"Princess","1815",,"1885",
359,"Charles William Frederick","Cavendish-Bentwi",M,"Reverend",,,"1865",
360,"William Charles Augustus","Cavendish-Bentin",M,"Lord",,,"1826",
361,"Anne","Wellesley",F,,,,"1875",
362,"Edwyn","Burnaby",M,,,,"1867",
363,"Anne Caroline","Salisbury",F,,,,"1881",
364,"Oswald","Smith",M,,,,"1863",
365,"Henrietta Mildred","Hodgson",F,,,,,
366,"Albert Edward John","Spencer",M,"Earl of Spencer","1892",,"1975",
367,"Cynthia Elinor Beatrix","Hamilton",F,"Lady","1897",,"1972",
368,"Edmund Maurice","Burke_Roche",M,"Baron Fermoy","1885",,"1955",
369,"Ruth Sylvia","Gill",F,,"1908",,,
370,"James Boothby","Burke_Roche",M,"Baron Fermoy","1851",,"1920",
371,"Frances Ellen","Work",F,,"1857",,"1947",
372,"Frank","Work",M,,"1819",,"1911",
373,"Ellen","Wood",F,,"1831",,"1877",
374,"John","Wood",M,,,,"1847",
375,"Ellen","Strong",F,,,,"1863",
376,"John","Work",M,,,,,
377,"Sarah","Boude",F,,,,,
378,"Edmund","Burke_Roche",M,"Baron Fermoy","1815",,"1874",
379,"Elizabeth Caroline","Boothby",F,,"1821",,"1897",
380,"James Brownell","Boothby",M,,,,"1850",
381,"Charlotte","Cunningham",F,,,,"1893",
382,"Edward","Roche",M,,,,"1855",
383,"Margaret Honoria","Curtain",F,,,,"1862",
384,"James Albert Edward","Hamilton",M,"Duke of Abercorn","1869",,"1953",
385,"Rosalind Cecilia Caroline","Bingham",F,"Lady","1869",,"1958",
386,"James","Hamilton",M,"Duke of Abercorn","1838",,"1913",
387,"Mary Anna","Curzon-Howe",F,"Lady","1848",,"1929",
388,"George","Bingham",M,"Earl of Lucan","1830",,"1914",
389,"Cecilia Catherine","Gordon-Lennox",F,"Lady","1838",,"1910",
390,"William Smith","Gill",M,,"1865",,"1957",
391,"Ruth","Littlejohn",F,,"1879",,"1964",
392,"Alexander Ogston","Gill",M,,"1833",,"1908",
393,"Barbara Smith","Marr",F,,"1843",,,
394,"David","Littlejohn",M,,"1841",,"1924",
395,"Jane","Crombie",F,,"1843",,"1917",
396,"Charles Robert","Spencer",M,"Earl of Spencer","1857",,"1922",
397,"Margaret","Baring",F,"Hon.","1868",,"1906",
398,"Frederick","Spencer",M,"Earl of Spencer","1798",,"1857",
399,"Adelaide Horatia Elizabeth","Seymour",F,,"1825",,"1877",
400,"Edward Charles","Baring",M,"Baron Revelstoke","1828",,"1897",
401,"Louisa Emily Charlotte","Bulteel",F,,"1839",,"1892",
402,"Augusta of_Schleswig- Holstein-","",F,,"22 OCT 1858","Dolzig","11 APR 1921","Haus Doorn,Netherlands"
403,"Bernard of_Saxe- Meiningen","",M,,"1851",,"1928",
404,"Adolphus of_Schaumburg- Lippe","",M,,"1859",,"1916",
405,"Constantine_I","Oldenburg",M,"King of Greece","2 AUG 1868","Athens,Greece","11 JAN 1923","Palermo,Italy"
406,"Frederick Charles of_Hesse","",M,,"1868",,"1940",
407,"Victoria of_Schleswig- Holstein","",F,"Princess",,,,
408,"Irene","Denison",F,"Lady","1890",,"16 JUL 1956",
409,"Alfonso_XIII","",M,"King of Spain","1886",,"1941",",,Portugal"
410,"Louise of_Mecklenburg- Strelitz","",F,,"1776",,"1810",
411,"Frederick William_IV","",M,"King of Prussia","15 OCT 1795","Berlin,Germany","2 JAN 1861",
412,"William_I of_Germany","",M,"Emperor","22 MAR 1797","Berlin,Germany","9 MAR 1888","Berlin,Germany"
413,"Frederica","",F,,"1799",,"1800",
414,"Charles","",M,,"1801",,"1883",
415,"Charles","",M,,"1766",,"1806",
416,"Ferdinand","",M,,"1804",,"1806",
417,"Charlemagne","",M,"King of Franks","2 APR  742","Aachen,West Germany","814",
418,"Albert of_Prussia","",M,"Prince","1809",,"1872",
419,"Hermine of_Reuss","",F,"Princess","17 DEC 1887","Greiz","7 AUG 1947","Frankfurt an der,Oder"
420,"William","",M,"Crown Prince","1882",,"1951/1952",
421,"Eitel Frederick","",M,,"1883",,"1942/1943",
422,"Adalbert","",M,,"1884",,"1948",
423,"Augustus William","",M,,"1887",,"1949",
424,"Oscar","",M,,"1888",,"1958",
425,"Joachim","",M,,"1890",,"1920",
426,"Victoria Louise of_Prussia","",F,,"1892",,"1980",
427,"Augusta of_Saxe-Weimar","",F,,"1811",,"1890",
428,"Louise","",F,,"1828",,"1923",
429,"Frederick of_Baden","",M,"Grand Duke","1826",,"1907",
430,"Alphonso of_Cavadonga","",M,"Count","1907",,"1938",
431,"Don Jamie","",M,,,,,
432,"Don Juan of_Spain","",M,,"JUN 1913","San Ildefonso,,Spain",,
433,"Beatrice","",F,,"1909",,,
434,"Maria de_las_Mercedes of_Bourbon","",F,"Princess","1910","Madrid,,Spain",,
435,"Juan Carlos","",M,"King of Spain","1938",,,
436,"Marie (Mignon)","Hohenzollern",F,,"1900",,"1961",
437,"Elizabeth of_Romania","Hohenzollern",F,"Princess","12 OCT 1894","Pelesch","14 NOV 1956","Cannes,France"
438,"Carol_II","Hohenzollern",M,"King of Romania","15 OCT 1893","Castle Pelesch,Sinaia,Romania","4 APR 1953","Villa Mar y Sol,Estoril,Portugal"
439,"George_II","Oldenburg",M,"King of Greece","19 JUL 1890","Tatoi,Near Athens,Greece","1 APR 1947","Athens,Greece"
440,"Alexander_I of_Yugoslavia","",M,"King","1888",,"1934",
441,"Sophia of_Greece","Oldenburg",F,,"1938",,,
442,"Helen","",F,,"1963",,,
443,"Christine","",F,,"1965",,,
444,"Philip of_Asturias","",M,"Prince","1968",,,
445,"Gustav Adolf","",M,"Prince","1906",,"1947",
446,"Erik of_Vastmanland","",M,"Duke","1889",,"1918",
447,"Sigvard Oscar Fredrik","",M,"Count of Wisborg","7 JUN 1907",,,
448,"Bertil Gustaf Oscar","",M,"Prince of Sweden","28 FEB 1912",,,
449,"Carl Johan Arthur","",M,"Count of Wisborg","31 OCT 1916",,,
450,"Olav_V","",M,"King of Norway","2 JUL 1903","Appleton House,Sandringham,Norfolk,England","17 JAN 1991","Norway"
451,"Martha of_Sweden","",F,"Crown Princess","1901",,"1954",
452,"Harald","",M,"Crown Prince","21 FEB 1937","Skaugum,Near Oslo,Norway",,
453,"Sonja","Haraldsen",F,"Crown Princess","1937",,,
454,"Martha Louise","",F,"Princess","1971",,,
455,"Haakon of_Norway","Magnus",M,"Prince","1973",,,
456,"Gustav_V","",M,"King of Sweden","16 JUN 1858","Drottningholm,Near Stockholm,Sweden","29 OCT 1950","Drottningholm,Near Stockholm,Sweden"
457,"Victoria of_Baden","",F,"Sweden","7 AUG 1862","Karlsruhe","4 APR 1930","Rome,Italy"
458,"Oscar_II","",M,"King of Sweden","21 JAN 1829","Stockholm,Sweden","8 DEC 1907","Stockholm,Sweden"
459,"Sophia","",F,,"9 JUL 1836","Biebrich","30 DEC 1913","Stockholm,Sweden"
460,"Eleonore of_Solms- Hohensolms-Lich","",F,"Princess","1871",,"1937",
461,"George Donatus of_Hesse","",M,"Grand Duke","1906",,"1937",
462,"Louis","",M,,"1908",,"1968",
463,"Cecilie of_Greece","Mountbatten",F,"Princess","1911",,"1937",
464,"Margaret","Campbell-Geddes",F,"Hon.","1913",,,
465,"Christopher","Oldenburg",M,,"1888",,"1940",
466,"George","Oldenburg",M,,"1869",,"1957",
467,"Olga","",F,,,,,
468,"Michael","Hohenzollern",M,"King of Romania","25 OCT 1921","Pelesch,Sinaia,Romania",,
469,"Anne of_Bourbon-Parma","",F,"Princess","18 SEP 1923","Paris,France",,
470,"Frederica of_Hanover","Hanover",F,"Princess","18 APR 1917","Blankenburg,Harz,Germany","6 FEB 1981","Madrid,Spain"
471,"Constantine_II","Oldenburg",M,"King of Greece","2 JUN 1940","Psychiko",,
472,"Anne-Marie of_Denmark","",F,,"30 AUG 1946","Copenhagen,Denmark",,
473,"Aspasia","Manos",F,,"4 SEP 1896","Athens,Greece","7 AUG 1972","Venice,Italy"
474,"Alexandra of_Greece","",F,"Princess","1921",,,
475,"Peter_II of_Yugoslavia","",M,"King","6 SEP 1923","Belgrade","1970",
476,"Sophia","",F,,"1914",,,
477,"Gottfried of_Hohenlohe- Lagenburg","",M,"Prince","1897",,"1960",
478,"Five_children","",M,,,,,
479,"Berthold of_Baden","",M,"Margrave","1906",,"1963",
480,"Four_Children","",M,,,,,
481,"Christopher of_Hesse","",M,"Prince","1901",,"1944",
482,"George William of_Hanover","",M,"Prince","1915",,,
483,"Eight_children","",M,,,,,
484,"Ludwig of_Wurttemberg","",M,"Duke",,,,
485,"Henriette","",F,,,,,
486,"Alexander of_Bulgaria","",M,"Prince","1857",,"1893",
487,"Francis Joseph","",M,,"1861",,"1924",
488,"Gustav Ernst of_Erbach-Schonb","",M,"Prince","1840",,"1908",
489,"Johanna","Loisinger",F,,"1865",,"1951",
490,"Anna of_Montenegro Princess","",F,,,,,
491,"Alexandra Alexandrovna","Romanov",F,,"1842",,"1849",
492,"Nicholas Alexandrovich","Romanov",M,,"1843",,"1865",
493,"Louis_III of_Hesse","",M,"Grand Duke","1806",,"1877",
494,"Edwina","Ashley",F,"Hon.","1901",,"1960",
495,"Mathilde","",F,"Princess","1813",,"1862",
496,"Frederica of_Hesse- Darmstadt","",F,,,,,
497,"Henry","",M,,"1838",,"1900",
498,"William","",M,,"ABT    1845",,"1900",
499,"Anna","",F,,"1843",,"1865",
500,"Patricia","Mountbatten",F,"Lady","1924",,,
501,"Pamela","Mountbatten",F,"Lady","1929",,,
502,"Nadejda","",F,"Countess","1896",,"1963",
503,"Tatiana Elizabeth","Mountbatten",F,"Lady","1917",,,
504,"David of_Milford_Haven","Mountbatten",M,"Marquess","1919",,"14 APR 1970",
505,"John Knatchbull","Ulick",M,"Lord Brabourne","1918",,,
506,"Five_children","",M,,,,,
507,"David","Hicks",M,,"1928",,,
508,"Two_Children","",M,,,,,
509,"Iris","Mountbatten",F,"Lady","1920",,,
510,"Auguste","von_Harrach",F,,"1800",,"1873",
511,"Daughter Stillborn","",F,,,,,
512,"Frederick","",M,,"1833",,"1834",
513,"Rosalie of_Hohenau","von_Rauch",F,"Countess","1820",,"1879",
514,"Himiltude","",F,,,,,
515,"Paul Frederick","",M,"Grand Duke","1800",,"1842",
516,"Marie of_Saxe-Weimar- Eisenach","",F,,"1808",,"1877",
517,"Caroline of_Zweibrucken","",F,,,,,
518,"Cecilie of_Mecklenburg- Schwerin","",F,,"1886",,"1954",
519,"William","",M,,"1906",,"1940",
520,"Louis Ferdinand of_Prussia","",M,"Prince","1907",,,
521,"Hubertus","",M,,"1909",,"1950",
522,"Frederick","",M,,"1911",,"1966",
523,"Alexandrine","",F,,"1915",,"1980",
524,"Cecilie","",F,,"1917",,"1975",
525,"Dorothea","von_Salviati",F,,"1907",,"1972",
526,"Dau._1","",F,,,,,
527,"Dau._2","",F,,,,,
528,"Kira of_Russia","",F,"Grand Duchess","1909",,"1967",
529,"Louis_XIII","",M,"King of France","27 SEP 1601","Fontainebleau,France","14 MAY 1643","Germain-en-Laye,France"
530,"Joanna of_Austria","",F,"Arch Duchess",,,,
531,"Francesco_I of_Tuscany Italy","",M,"Grand Duke",,,,
532,"Alice de_Courtenay","",F,,,,,
533,"Aymer of_Angouleme","Taillefer",M,"Count",,,,
534,"Dau._2","",F,,,,,
535,"Dau._3","",F,,,,,
536,"Maria-Anna","von_Humboldt",F,,"1916",,,
537,"Magdalene","Reuss",F,,"1920",,,
538,"Dau._1","",F,,,,,
539,"Dau._2","",F,,,,,
540,"Brigid","Guinness",F,"Lady","1920",,,
541,"Son_1","",M,,,,,
542,"Son_2","",M,,,,,
543,"Son_3","",M,,,,,
544,"Dau._1","",F,,,,,
545,"Dau._2","",F,,,,,
546,"Clyde","Harris",M,,,,,
547,"Sophie Charlotte","",F,,"1879",,"1964",
548,"Adelheid of_Saxe- Meiningen","",F,,"1891",,"1971",
549,"Alexandra of_Schleswig-","",F,,"1887",,"1957",
550,"Ina Maria","von_Bassewitz",F,,"1888",,"1973",
551,"Marie Auguste of_Anhalt","",F,,"1898",,"1983",
552,"Ernest Augustus of_Brunswick","Hanover",M,"Duke","1887",,"1953",
553,"Frederick William_II","",M,"King of Prussia","25 SEP 1744","Berlin","16 DEC 1797","Marmorpalais,Potsdam"
554,"Elizabeth Christine of_Brunswick","",F,,"8 NOV 1746","Wolfenbuttel","18 FEB 1840","Stettin"
555,"Frederica Charlotte of_Prussia","",F,"Princess","7 MAY 1767","Charlottenburg","6 AUG 1820","Oatlands Park,Weybridge,Surrey,England"
556,"Frederica of_Hesse- Darmstadt","",F,,"16 OCT 1751","Prenzlau","25 FEB 1805","Berlin"
557,"Christine","",F,,"1772",,"1773",
558,"Louis","",M,,"1773",,"1796",
559,"Wilhelmina","",F,,"18 NOV 1774","Potsdam","12 OCT 1837","The Hague"
560,"Son Stillborn","",M,,,,,
561,"Augusta","",F,,"1780",,"1841",
562,"Charles","",M,,"1781",,"1846",
563,"William","",M,,"1783",,"1851",
564,"Charles of_Mecklenburg- Strelitz","",M,"Grand Duke",,,,
565,"William_I of_Netherlands","",M,"King","24 AUG 1772","Oraniensaal,The Hague","12 DEC 1843","Berlin,Germany"
566,"William_II of_Hesse","",M,"Elector",,,,
567,"Maria Anna of_Hesse","",F,,"1785",,"1846",
568,"Augustus William","",M,,"1722",,"1758",
569,"Louise of_Brunswick","",F,,"1722",,"1780",
570,"Frederick Henry Charles","",M,,"1747",,"1767",
571,"Wilhelmine","",F,,"1751",,"1820",
572,"George Charles Emil","",M,,"1758",,"1759",
573,"William_V of_Orange","",M,,,,,
574,"Charles Christian of_Nassau-Weilb","",M,"Prince","1735",,"1788",
575,"Caroline","",F,,"1743",,"1787",
576,"Friedrich Wilhelm of_Nassau-Weilb","",M,"Prince",,,,
577,"Unknown","",F,,,,,
578,"Wilhelm of_Nassau","",M,"Duke",,,,
579,"Unknown","",F,,,,,
580,"Adolphe of_Luxembourg","",M,"Grand Duke",,,,
581,"Unknown","",F,,,,,
582,"Guillaume_IV of_Luxembourg","",M,"Grand Duke",,,,
583,"Unknown","",F,,,,,
584,"Charlotte of_Luxembourg","",F,"Grand Duchess",,,,
585,"Unknown","",M,,,,,
586,"Jean of_Luxembourg","",M,"Grand Duke",,,,
587,"Marie-Josephe de_Saxe","",F,,,,,
588,"Vladimir Cyrilovitch","Romanov",M,"Grand Duke","30 AUG 1917","Near Borga,Finland,Finland",,
589,"Leonide Bagration- Moukhransky","",F,"Princess","1914","Tiflis",,
590,"Gaston","",M,"Duke of Orleans","1608",,"1660",
591,"James","",M,"Duke of Segovia","1908",,"1975",
592,"Dona_Maria of_Bourbon","",F,,"1937",,,
593,"Margarite","",F,"Crown Princess","1939",,,
594,"Alphonso","",M,"Crown Prince","1941",,"1956",",,Portugal"
595,"Maria","",F,,,,,
596,"Isabella","Marshal",F,"Lady","9 OCT 1200","Pembroke Castle","15 JAN 1240","Berkhamsted"
597,"Charles of_Sweden","",M,"Prince","1861",,"1951",
598,"Ingeborg of_Denmark","",F,,"1878",,"1958",
599,"Astrid of_Sweden","",F,"Princess","17 NOV 1905",,"29 AUG 1935","Kussnacht,Switzerland"
600,"Leopold_III","",M,"King of Belgium","3 NOV 1901","Brussels,Belgium","25 SEP 1983","Near Brussels,Belgium"
601,"Baudouin_I of_the_Belgians","",M,"King","7 SEP 1930","Chateau de,Stuyvenberg",,
602,"Sibylla of_Saxe-Coburg","",F,,"1908",,"1971",
603,"Carl_XVI Gustav","",M,"King of Sweden","30 APR 1946","Haga Castle",,
604,"Frederick_VIII","",M,"King of Denmark","3 JUN 1843","Copenhagen,Denmark","14 MAY 1912","Hamburg,Germany"
605,"Louise of_Sweden","",F,,"31 OCT 1851","Stockholm,Sweden","20 MAR 1926","Amalienborg"
606,"Christian_X","",M,"King of Denmark","26 SEP 1870","Charlottenlund,Nr: Copenhagen,Denmark","20 APR 1947","Amalienborg"
607,"Alexandrine of_Mecklenburg- Schwerin","",F,,"24 DEC 1879","Schwerin","28 DEC 1952","Copenhagen"
608,"Frederick_IX","",M,"King of Denmark","11 MAR 1899","Sorgenfri,Nr: Copenhagen,Denmark","14 JAN 1972","Copenhagen,Denmark"
609,"Alexia","Oldenburg",M,,"1965",,,
610,"Mergrethe_II","",F,"Queen of Denmark","16 APR 1940","Copenhagen,Denmark",,
611,"Johann Georg_II of_Anhalt-Dessau","",M,"Prince",,,"1693",
612,"Unknown","",F,,,,,
613,"Leopold_I of_Anhalt-Dessau","",M,"Prince",,,,
614,"Henriette Amalie","",F,,,,,
615,"Heinrich Kasimir of_Nassau-Dietz","",M,"Prince",,,,
616,"John William of_Orange","Friso",M,"Prince","1686",,"1711",
617,"Mary Louise","",F,,"1688",,"1765",
618,"William_IV of_Orange","",M,"Prince","1711",,"1751",
619,"Charlotte Amalia","",F,,"1710",,"1777",
620,"Friedrich of_Baden-Durlach","",M,"Prince","1703",,"1732",
621,"Karl Friedrich of_Baden","",M,"Grand Duke",,,,
622,"Unknown","",F,,,,,
623,"Karl Ludwig of_Baden","",M,"Prince",,,,
624,"Unknown","",F,,,,,
625,"Karl of_Baden","",M,"Grand Duke",,,,
626,"Caroline of_Baden","",F,,"13 JUL 1776","Karlsruhe","13 NOV 1841","Munich,Germany"
627,"Unknown","",F,,,,,
628,"Marie","",F,,,,,
629,"William Alexander of_Hamilton","",M,"Duke",,,,
630,"Mary","",F,,,,,
631,"Albert_I of_Monaco","",M,"Prince",,,,
632,"Louis_II of_Monaco","",M,"Prince",,,,
633,"Unknown","",F,,,,,
634,"Charlotte","",F,,,,,
635,"Pierre","de_Polignac",M,"Prince",,,,
636,"Rainier_III of_Monaco","",M,"Prince",,,,
637,"Maximilian_I Joseph","Wittelsbach",M,"King of Bavaria","27 MAY 1756","Mannheim,Germany","13 OCT 1825","Schloss,Nymphenburg,Germany"
638,"Sophie (twin)","Wittelsbach",F,,"1805",,"1872",
639,"Franz Karl of_Austria","",M,"Archduke",,,,
640,"Otto","",M,,,,,
641,"Elisabeth Amalia","",F,,,,,
642,"Unknown","",F,,,,,
643,"Karl_I of_Austria","",M,"Emperor",,,,
644,"Unknown","",F,,,,,
645,"Otto of_Austria","",M,"Archduke",,,,
646,"Karl Ludwig","",M,,,,,
647,"Unknown","",F,,,,,
648,"Aloys of_Liechtenstein","",M,"Prince",,,,
649,"Franz_Joseph_II of_Liechtenstein","",M,"Prince",,,,
650,"William_V of_Orange","",M,"Prince","1748",,"1806",
651,"Wilhelmina","",F,,"1751",,"1820",
652,"William_II of_Netherlands","",M,"King","6 DEC 1792","The Hague,Netherlands","17 MAR 1849","Tilburg"
653,"Frederik of_Netherlands","",M,"Prince","1797",,"1881",
654,"Anna Pavlovna","",F,,"18 JAN 1795","St. Petersburg,Russia","1 MAR 1865","The Hague"
655,"William_III of_Netherlands","",M,"King","19 FEB 1817","Brussels,Belgium","23 NOV 1890","Het Loo"
656,"Emma of_Netherlands","",F,"Queen Regent","2 AUG 1858","Arolsen","20 MAR 1934","The Hague"
657,"Wilhelmina of_Netherlands","",F,"Queen","31 AUG 1880","The Hague,Netherlands","28 NOV 1962","Het Loo"
658,"Henry of_Mecklenburg","",M,"Duke","19 APR 1876","Schwerin","3 JUL 1934","The Hague,Netherlands"
659,"Juliana of_Netherlands","",F,"Queen","30 APR 1909","The Hague,Netherlands",,
660,"Bernhard of_Lippe- Biesterfeld","",M,"Prince","29 JUN 1911","Jena",,
661,"Beatrix of_Netherlands","",F,"Queen","31 JAN 1938","Soetdijk,Palace,Netherlands",,
662,"Unknown","",F,,,,,
663,"Leopold_II of_Anhalt-Dessau","",M,"Prince",,,,
664,"Unknown","",F,,,,,
665,"Agnes","",F,,,,,
666,"Johann","Just",M,"Baron von Loen",,,,
667,"Agnes","",F,,,,,
668,"Ernst von_Seherr-Thoss","",M,"Count",,,,
669,"Hermann von_Seherr-Thoss","",M,"Count",,,,
670,"Unknown","",F,,,,,
671,"Marguerite","",F,,,,,
672,"Lajos Apponyi_de Nagy-Appony","",M,"Count",,,,
673,"Cyula Apponyi_de Nagy-Appony","",M,"Count",,,,
674,"Unknown","",F,,,,,
675,"Geraldine","",F,,,,,
676,"Zog_I of_Albania","",M,"King",,,,
677,"Leka_I of_Albania","",M,"King",,,,
678,"Karl of_Austria","",M,"Archduke",,,,
679,"Henriette","",F,,,,,
680,"Karl Ferdinand","",M,,,,,
681,"Unknown","",F,,,,,
682,"Maria Cristina of_Austria","",F,"Queen of Spain","1858",,"1929",
683,"Alfonso_XII","",M,"King of Spain","1857","Madrid,Spain","1885",
684,"Joseph of_Austria","",M,"Archduke",,,,
685,"Elisabeth of_Austria","",F,"Archduchess",,,,
686,"Ferdinand of_Austria-Este","",M,"Archduke",,,,
687,"Maria Theresa","",F,,"2 JUL 1849","Brunn","3 FEB 1919","Schloss,Wildenwart"
688,"Ludwig_III","Wittelsbach",M,"King of Bavaria","7 JAN 1845","Munich,Germany","18 OCT 1921","Sarvar,Hungary"
689,"Rupprecht of_Bavaria","",M,"Crown Prince","1869",,"1955",
690,"Maria Gabriele of_Bavaria","",F,,"1878",,"1912",
691,"Albrecht (Albert)","",M,"Duke of Bavaria","1905",,,
692,"George of_Denmark","",M,"Prince","2 APR 1653","Copenhagen,Denmark","28 OCT 1708","Kensington,Palace,,England"
693,"Anne","Stuart",F,"Queen of England","6 FEB 1665","St. James Palace,London,England","1 AUG 1714","Kensington,Palace,London,England"
694,"Daughter","",F,,"12 MAY 1684",,"12 MAY 1684",
695,"Mary","",F,,"2 JUN 1685","Whitehall,,England","8 FEB 1687","Windsor Castle,Berkshire,England"
696,"Anne Sophia","",F,,"12 MAY 1686","Windsor Castle,Berkshire,England","2 FEB 1687","Windsor Castle,Berkshire,England"
697,"Son","",M,,"22 OCT 1687",,"22 OCT 1687",
698,"William of_Gloucester","",M,"Duke","24 JUL 1689","Hampton Court,Palace,England","30 JUL 1700","Windsor Castle,Berkshire,England"
699,"Mary","",F,,"14 OCT 1690","St. James Palace,London,England","14 OCT 1690","St. James Palace,London,England"
700,"George","",M,,"17 APR 1692","Syon House,Brentford,Middlesex,England","17 APR 1692","Syon House,Brentford,Middlesex,England"
701,"Daughter","",F,,"23 MAR 1693","Berkeley House,,England","23 MAR 1693","Berkeley House,,England"
702,"Daughter","",F,,"18 FEB 1696",,"18 FEB 1696",
703,"Son","",M,,"20 SEP 1696","Windsor,Berkshire,England","20 SEP 1696","Windsor,Berkshire,England"
704,"Son","",M,,"15 SEP 1698",,"15 SEP 1698",
705,"Daughter","",F,,"25 JAN 1700",,"25 JAN 1700",
706,"James_II","Stuart",M,"King of England","14 OCT 1633","St. James Palace,London,England","6 SEP 1701","St. Germain-,en-Laye,France"
707,"Anne","Hyde",F,,"12 MAR 1637/1638","Cranbourne Lodge,Near,Windsor,England","31 MAR 1671","St. James Palace,London,England"
708,"Charles of_Cambridge","",M,"Duke","22 OCT 1660","Worcester House,London,England","5 MAY 1661","Whitehall"
709,"Mary_II","",F,"Queen of England","30 APR 1662","St. James Palace,London,England","28 DEC 1694","Kensington,Palace,London,England"
710,"James of_Cambridge","",M,"Duke","12 JUL 1663","St. James Palace,London,England","22 MAY 1667","St. James Palace,London,England"
711,"Charles","",M,"Duke of Kendal","4 JUL 1666","St. James Palace,London,England","20 JUN 1667","Richmond Palace,,England"
712,"Edgar of_Cambridge","",M,"Duke","14 SEP 1667","St. James Palace,London,England","15 NOV 1669","Richmond Palace,London,England"
713,"Henrietta","",F,,"13 JAN 1669","Whitehall,,England","15 NOV 1669","St. James Palace,,England"
714,"Catherine","",F,,"9 FEB 1671","Whitehall,,England","5 DEC 1671","St. James Palace,,England"
715,"Mary Beatrice of_Modena","",F,,"25 SEP 1658",,"7 MAY 1718","St. Germain-,en-Laye,France"
716,"Catherine Laura","Stuart",F,,"10 JAN","St. James Palace,London,England","3 OCT 1675","St. James Palace,London,England"
717,"Charles of_Cambridge","Stuart",M,"Duke","7 NOV 1677","St. James Palace,London,England","12 DEC 1677","St. James Palace,London,England"
718,"Charlotte Maria","Stuart",F,,"16 AUG 1682","St. James Palace,London,England","6 OCT 1682","St. James Palace,London,England"
719,"James Francis Edward","Stuart",M,"Prince of Wales","10 JUN 1688","St. James Palace,London,England","1 JAN 1766","Rome,,Italy"
720,"Louisa Maria Theresa","Stuart",F,,"28 JUN 1692","St. Germain-,en-Laye,France","8 APR 1712","St. Germain-,en-Laye,France"
721,"Maria Casimire Clementina","Sobieska",F,,"18 JUL 1702",,"18 JAN 1735","Rome,,Italy"
722,"Charles Edward Louis","Stuart",M,,"31 DEC 1720","Rome,,Italy","31 JAN 1788","Rome,,Italy"
723,"Henry Benedict Thomas","Stuart",M,"Duke of York","6 MAR 1725","Rome,,Italy","13 JUL 1807","Frascati,,Italy"
724,"Louise Maximilienne Caroline","",F,,"10 SEP 1752","Mons","29 JAN 1824","Florence,,Italy"
